total_vehicles,avg_speed_kmh,avg_wait_s,max_wait_s,throughput,departed,speed_ma5,wait_ma5,vehicle_ma5,efficiency,traffic_pressure,congestion_index,final_state,predicted_state,prediction_correct,prob_Bình thường,prob_Chậm,prob_Tắc nghẽn
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,Tắc nghẽn,Tắc nghẽn,1,0.1209,0.1066,0.7725
19,33.82,0.11,2.0,0,0,16.91,0.055,9.5,0.0,0.06,0.195,Bình thường,Bình thường,1,0.9467,0.0516,0.0017
37,30.09,0.89,12.0,0,0,21.30333333333333,0.3333333333333333,18.666666666666668,0.0,1.059,0.242,Bình thường,Bình thường,1,0.9469,0.0514,0.0017
49,29.04,0.94,14.0,0,0,23.2375,0.485,26.25,0.0,1.533,0.255,Bình thường,Bình thường,1,0.917,0.0814,0.0016
49,24.65,1.71,11.0,0,0,23.52,0.73,30.8,0.0,3.267,0.31,Chậm,Chậm,1,0.2262,0.7718,0.002
49,25.17,3.39,21.0,0,4,28.554,1.408,40.6,0.0,6.347,0.309,Bình thường,Bình thường,1,0.9313,0.066,0.0028
45,25.5,5.09,31.0,0,0,26.890000000000004,2.404,45.8,0.0,8.643,0.311,Bình thường,Bình thường,1,0.8919,0.1065,0.0016
44,25.35,7.66,41.0,1,0,25.942,3.758,47.2,0.0227272727272727,12.791,0.321,Bình thường,Bình thường,1,0.8981,0.1003,0.0016
43,21.31,9.42,51.0,2,0,24.396,5.454000000000001,46.0,0.0465116279069767,18.156,0.376,Chậm,Chậm,1,0.0799,0.9181,0.002
45,24.44,10.42,59.0,0,0,24.354000000000003,7.196000000000001,45.2,0.0,18.432,0.341,Chậm,Chậm,1,0.1341,0.8639,0.002
49,23.76,12.88,69.0,0,0,24.072000000000003,9.094,45.2,0.0,25.489,0.358,Chậm,Chậm,1,0.0474,0.9507,0.002
50,19.11,16.72,79.0,0,7,22.794,11.419999999999998,46.2,0.0,41.571,0.426,Chậm,Chậm,1,0.026,0.6337,0.3403
43,17.25,22.67,89.0,0,0,21.174,14.422,46.0,0.0,53.414,0.469,Chậm,Chậm,1,0.0325,0.9636,0.004
50,18.78,17.6,99.0,0,0,20.668,16.058,47.4,0.0,44.489,0.433,Chậm,Chậm,1,0.026,0.9659,0.0081
50,13.96,22.86,109.0,0,0,18.572,18.546,48.4,0.0,76.404,0.509,Chậm,Chậm,1,0.0232,0.9582,0.0186
49,10.92,30.12,119.0,0,0,16.003999999999998,21.994,48.4,0.0,123.815,0.569,Chậm,Chậm,1,0.0228,0.946,0.0312
49,7.3,37.45,129.0,1,0,13.642,26.14,48.2,0.0204081632653061,221.09,0.637,Tắc nghẽn,Tắc nghẽn,1,0.0105,0.4697,0.5198
50,6.24,43.86,139.0,0,2,11.44,30.378,49.6,0.0,302.901,0.671,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0301,0.9689
49,6.32,52.18,149.0,0,0,8.948,37.294,49.4,0.0,349.292,0.698,Tắc nghẽn,Tắc nghẽn,1,0.0014,0.2049,0.7937
50,4.86,59.62,159.0,0,0,7.128,44.646,49.4,0.0,508.703,0.74,Tắc nghẽn,Tắc nghẽn,1,0.001,0.1316,0.8674
50,1.46,68.68,169.0,0,0,5.236,52.35799999999999,49.6,0.0,1395.935,0.811,Tắc nghẽn,Tắc nghẽn,1,0.001,0.064,0.935
50,0.72,78.4,179.0,0,0,3.92,60.548,49.8,0.0,2279.07,0.853,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0339,0.9651
50,1.62,87.32,189.0,0,0,2.996,69.24,49.8,0.0,1666.412,0.872,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0239,0.9751
50,1.32,96.92,199.0,0,0,1.996,78.188,50.0,0.0,2088.793,0.907,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0152,0.9838
50,1.93,106.52,209.0,0,0,1.41,87.56800000000001,50.0,0.0,1817.747,0.932,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0115,0.9875
50,1.91,116.12,219.0,0,0,1.5,97.056,50.0,0.0,1995.189,0.964,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0085,0.9905
50,0.99,125.78,229.0,0,0,1.554,106.532,50.0,0.0,3160.302,0.988,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0077,0.9913
50,0.94,135.58,239.0,0,0,1.418,116.184,50.0,0.0,3494.33,0.989,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0059,0.9932
50,0.47,145.38,249.0,0,0,1.248,125.876,50.0,0.0,4944.898,0.994,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0055,0.9936
50,0.91,155.18,259.0,0,0,1.044,135.608,50.0,0.0,4062.304,0.989,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0052,0.9938
50,0.94,164.98,269.0,0,0,0.85,145.38,50.0,0.0,4252.062,0.989,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0049,0.9941
50,1.0,174.78,279.0,0,0,0.852,155.18,50.0,0.0,4369.5,0.988,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0065,0.9925
50,0.96,184.58,289.0,0,0,0.8560000000000001,164.98,50.0,0.0,4708.673,0.988,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0049,0.9941
50,0.59,194.38,299.0,0,0,0.8800000000000001,174.78,50.0,0.0,6112.579,0.993,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0048,0.9942
50,0.94,204.18,309.0,0,0,0.8859999999999999,184.58,50.0,0.0,5262.371,0.989,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0048,0.9942
50,0.0,214.06,319.0,0,0,0.698,194.396,50.0,0.0,10703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0043,0.9947
50,0.0,224.06,329.0,0,0,0.4979999999999999,204.252,50.0,0.0,11203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0041,0.9949
50,0.0,234.06,339.0,0,0,0.3059999999999999,214.148,50.0,0.0,11703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0039,0.9951
50,0.0,244.06,349.0,0,0,0.188,224.084,50.0,0.0,12203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0037,0.9953
50,0.0,254.06,359.0,0,0,0.0,234.06,50.0,0.0,12703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0036,0.9954
50,0.0,264.06,369.0,0,0,0.0,244.06000000000003,50.0,0.0,13203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0035,0.9955
50,0.0,274.06,379.0,0,0,0.0,254.06,50.0,0.0,13703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0035,0.9955
50,0.0,284.06,389.0,0,0,0.0,264.06000000000006,50.0,0.0,14203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0035,0.9955
50,0.0,294.06,399.0,0,0,0.0,274.06000000000006,50.0,0.0,14703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0034,0.9956
50,0.0,304.06,409.0,0,0,0.0,284.06,50.0,0.0,15203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0034,0.9956
50,0.0,314.06,419.0,0,0,0.0,294.06,50.0,0.0,15703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0034,0.9956
50,0.0,324.06,429.0,0,0,0.0,304.06000000000006,50.0,0.0,16203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0034,0.9956
50,0.0,334.06,439.0,0,0,0.0,314.06000000000006,50.0,0.0,16703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0033,0.9957
50,0.0,344.06,449.0,0,0,0.0,324.06,50.0,0.0,17203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0033,0.9957
50,0.0,354.06,459.0,0,0,0.0,334.06,50.0,0.0,17703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0033,0.9957
50,0.0,364.06,469.0,0,0,0.0,344.06000000000006,50.0,0.0,18203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0033,0.9958
50,0.0,374.06,479.0,0,0,0.0,354.06000000000006,50.0,0.0,18703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0032,0.9958
50,0.0,384.06,489.0,0,0,0.0,364.06,50.0,0.0,19203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0032,0.9958
50,0.0,394.06,499.0,0,0,0.0,374.06,50.0,0.0,19703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0032,0.9958
50,0.0,404.06,509.0,0,0,0.0,384.06000000000006,50.0,0.0,20203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0032,0.9959
50,0.0,414.06,519.0,0,0,0.0,394.06000000000006,50.0,0.0,20703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0031,0.9959
50,0.0,424.06,529.0,0,0,0.0,404.06,50.0,0.0,21203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0031,0.9959
50,0.0,434.06,539.0,0,0,0.0,414.06000000000006,50.0,0.0,21703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0031,0.9959
50,0.0,444.06,549.0,0,0,0.0,424.06000000000006,50.0,0.0,22203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0031,0.996
50,0.0,454.06,559.0,0,0,0.0,434.06000000000006,50.0,0.0,22703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.003,0.996
50,0.0,464.06,569.0,0,0,0.0,444.06000000000006,50.0,0.0,23203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.003,0.996
50,0.0,474.06,579.0,0,0,0.0,454.06000000000006,50.0,0.0,23703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.003,0.996
50,0.0,484.06,589.0,0,0,0.0,464.06000000000006,50.0,0.0,24203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.003,0.996
50,0.0,494.06,599.0,0,0,0.0,474.06000000000006,50.0,0.0,24703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0029,0.9961
50,0.0,504.06,609.0,0,0,0.0,484.06000000000006,50.0,0.0,25203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0029,0.9961
50,0.0,514.06,619.0,0,0,0.0,494.06000000000006,50.0,0.0,25703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0029,0.9961
50,0.0,524.06,629.0,0,0,0.0,504.06000000000006,50.0,0.0,26203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0029,0.9961
50,0.0,534.06,639.0,0,0,0.0,514.0600000000001,50.0,0.0,26703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0029,0.9962
50,0.0,544.06,649.0,0,0,0.0,524.0600000000001,50.0,0.0,27203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0028,0.9962
50,0.0,554.06,659.0,0,0,0.0,534.0599999999998,50.0,0.0,27703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0028,0.9962
50,0.0,564.06,669.0,0,0,0.0,544.0600000000001,50.0,0.0,28203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0028,0.9962
50,0.0,574.06,679.0,0,0,0.0,554.0599999999998,50.0,0.0,28703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0028,0.9962
50,0.0,584.06,689.0,0,0,0.0,564.0600000000001,50.0,0.0,29203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0028,0.9963
50,0.0,594.06,699.0,0,0,0.0,574.0599999999998,50.0,0.0,29703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0027,0.9963
50,0.0,604.06,709.0,0,0,0.0,584.0600000000001,50.0,0.0,30203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0027,0.9963
50,0.0,614.06,719.0,0,0,0.0,594.0599999999998,50.0,0.0,30703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0027,0.9963
50,0.0,624.06,729.0,0,0,0.0,604.0600000000001,50.0,0.0,31203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0027,0.9963
50,0.0,634.06,739.0,0,0,0.0,614.0599999999998,50.0,0.0,31703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0027,0.9964
50,0.0,644.06,749.0,0,0,0.0,624.0600000000001,50.0,0.0,32203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0026,0.9964
50,0.0,654.06,759.0,0,0,0.0,634.0599999999998,50.0,0.0,32703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0026,0.9964
50,0.0,664.06,769.0,0,0,0.0,644.0600000000001,50.0,0.0,33203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0026,0.9964
50,0.0,674.06,779.0,0,0,0.0,654.0599999999998,50.0,0.0,33703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0026,0.9964
50,0.0,684.06,789.0,0,0,0.0,664.0600000000001,50.0,0.0,34203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0026,0.9964
50,0.0,694.06,799.0,0,0,0.0,674.0599999999998,50.0,0.0,34703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0025,0.9965
50,0.0,704.06,809.0,0,0,0.0,684.0600000000001,50.0,0.0,35203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0025,0.9965
50,0.0,714.06,819.0,0,0,0.0,694.0599999999998,50.0,0.0,35703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0025,0.9965
50,0.0,724.06,829.0,0,0,0.0,704.0600000000001,50.0,0.0,36203.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0025,0.9965
50,0.0,734.06,839.0,0,0,0.0,714.0599999999998,50.0,0.0,36703.0,1.0,Tắc nghẽn,Tắc nghẽn,1,0.001,0.0025,0.9965
