edge_id,freq,lanes,length_m,speed_kmh,capacity,peak_flow,avg_flow,vc_ratio,bpr_factor,los_grade,los_desc,travel_free,travel_actual,delay_s,risk_score
720361261,249,2,16.79,100.0,3600.0,1320.0,878.8,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.6,0.61,0.0,0.4834
1215970290#0,231,2,47.11,100.0,3600.0,1320.0,840.0,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",1.7,1.7,0.0,0.4619
1275903810,123,1,1.01,100.0,1800.0,900.0,434.1,0.5,1.0094,B,"Ổn định, ít bị ảnh hưởng",0.04,0.04,0.0,0.3982
720361262,191,2,2.73,100.0,3600.0,1200.0,674.1,0.3333,1.0019,A,Thông thoáng hoàn toàn,0.1,0.1,0.0,0.3968
720361263,198,2,18.28,100.0,3600.0,1020.0,666.7,0.2833,1.001,A,Thông thoáng hoàn toàn,0.66,0.66,0.0,0.3803
719462303,190,2,25.15,60.0,3600.0,1080.0,681.2,0.3,1.0012,A,Thông thoáng hoàn toàn,1.51,1.51,0.0,0.379
566567148#0,118,1,30.41,100.0,1800.0,840.0,423.5,0.4667,1.0071,B,"Ổn định, ít bị ảnh hưởng",1.09,1.1,0.01,0.3757
720360986,197,2,45.42,100.0,3600.0,960.0,702.4,0.2667,1.0008,A,Thông thoáng hoàn toàn,1.63,1.64,0.0,0.3709
566567148#1,114,1,3.11,100.0,1800.0,840.0,402.4,0.4667,1.0071,B,"Ổn định, ít bị ảnh hưởng",0.11,0.11,0.0,0.3707
1272225924#1,194,2,0.2,100.0,3600.0,960.0,684.7,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.3671
1272225924#2,194,2,1.18,100.0,3600.0,960.0,688.2,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.04,0.04,0.0,0.3671
1149832778#1,193,2,63.7,100.0,3600.0,960.0,684.7,0.2667,1.0008,A,Thông thoáng hoàn toàn,2.29,2.29,0.0,0.3662
1137128326,192,2,0.89,100.0,3600.0,960.0,640.0,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.03,0.03,0.0,0.3647
720360982#0,134,1,52.48,100.0,1800.0,720.0,473.3,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",1.89,1.9,0.01,0.3617
1149832778#0,188,2,15.78,100.0,3600.0,960.0,681.2,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.57,0.57,0.0,0.3599
1149832778#2,187,2,12.94,100.0,3600.0,960.0,663.5,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.47,0.47,0.0,0.3587
720360982#1,129,1,0.2,100.0,1800.0,720.0,430.0,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",0.01,0.01,0.0,0.3554
-1149832778#2,120,1,12.94,100.0,1800.0,720.0,400.0,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",0.47,0.47,0.0,0.3446
722556033,199,3,0.2,100.0,5400.0,1080.0,663.3,0.2,1.0002,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.3398
-1149832778#1,124,1,63.76,100.0,1800.0,660.0,446.7,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",2.3,2.3,0.01,0.3331
723249849#1,195,3,44.06,100.0,5400.0,1020.0,723.5,0.1889,1.0002,A,Thông thoáng hoàn toàn,1.59,1.59,0.0,0.3296
-1149832778#0,121,1,15.78,100.0,1800.0,660.0,403.3,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.57,0.57,0.0,0.3292
1272225923#0,193,3,2.63,100.0,5400.0,1020.0,681.2,0.1889,1.0002,A,Thông thoáng hoàn toàn,0.09,0.09,0.0,0.327
1272225923#1,193,3,0.2,100.0,5400.0,1020.0,681.2,0.1889,1.0002,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.327
1269264064#1,160,2,49.28,100.0,3600.0,960.0,563.3,0.2667,1.0008,A,Thông thoáng hoàn toàn,1.77,1.78,0.0,0.3264
-191937846#0,114,1,49.42,100.0,1800.0,660.0,416.5,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",1.78,1.78,0.0,0.3209
191937837#2,94,1,85.67,50.0,1800.0,720.0,367.1,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",6.17,6.19,0.02,0.3137
191937837#3,91,1,36.73,50.0,1800.0,720.0,313.3,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",2.64,2.65,0.01,0.3098
191937837#6,113,1,1.69,50.0,1800.0,600.0,398.8,0.3333,1.0019,A,Thông thoáng hoàn toàn,0.12,0.12,0.0,0.3028
1213004136,97,1,262.11,100.0,1800.0,660.0,388.2,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",9.44,9.46,0.03,0.3015
-191937846#1,108,1,4.16,100.0,1800.0,600.0,384.7,0.3333,1.0019,A,Thông thoáng hoàn toàn,0.15,0.15,0.0,0.2968
-191937846#2,108,1,1.08,100.0,1800.0,600.0,381.2,0.3333,1.0019,A,Thông thoáng hoàn toàn,0.04,0.04,0.0,0.2968
191937837#1,92,1,75.15,50.0,1800.0,660.0,356.5,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",5.41,5.43,0.01,0.2946
1149832776,75,1,792.91,100.0,1800.0,720.0,343.3,0.4,1.0038,B,"Ổn định, ít bị ảnh hưởng",28.54,28.65,0.11,0.2944
191937837#5,92,1,19.78,50.0,1800.0,660.0,313.3,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",1.42,1.43,0.0,0.2943
