episode,reward,avg_queue,epsilon,loss,buf_size
1,-136951.0,38.04,0.995,3.846857,14397
2,-141140.0,39.21,0.99003,3.846857,14398
3,-145014.0,40.28,0.98507,3.846857,14399
4,-141138.0,39.2,0.98015,3.846857,14400
5,-141372.0,39.27,0.97525,9.195431,28797
6,-143127.0,39.76,0.97037,9.195431,28798
7,-146023.0,40.56,0.96552,9.195431,28799
8,-139062.0,38.63,0.96069,9.195431,28800
9,-143732.0,39.93,0.95589,12.342604,43197
10,-140606.0,39.06,0.95111,12.342604,43198
11,-141119.0,39.2,0.94635,12.342604,43199
12,-141206.0,39.22,0.94162,12.342604,43200
13,-141124.0,39.2,0.93691,16.452679,57597
14,-145309.0,40.36,0.93223,16.452679,57598
15,-146111.0,40.59,0.92757,16.452679,57599
16,-145309.0,40.36,0.92293,16.452679,57600
17,-136156.0,37.82,0.91832,18.786211,71997
18,-145527.0,40.42,0.91372,18.786211,71998
19,-141607.0,39.34,0.90916,18.786211,71999
20,-139875.0,38.85,0.90461,18.786211,72000
21,-144727.0,40.2,0.90009,21.561147,86397
22,-138936.0,38.59,0.89559,21.561147,86398
23,-142564.0,39.6,0.89111,21.561147,86399
24,-139287.0,38.69,0.88665,21.561147,86400
25,-148164.0,41.16,0.88222,22.773273,100000
26,-143232.0,39.79,0.87781,22.773273,100000
27,-139590.0,38.77,0.87342,22.773273,100000
28,-141022.0,39.17,0.86905,22.773273,100000
29,-135072.0,37.52,0.86471,24.658253,100000
30,-139439.0,38.73,0.86038,24.658253,100000
31,-142086.0,39.47,0.85608,24.658253,100000
32,-140541.0,39.04,0.8518,24.658253,100000
33,-140753.0,39.1,0.84754,25.425566,100000
34,-137527.0,38.2,0.84331,25.425566,100000
35,-138339.0,38.43,0.83909,25.425566,100000
36,-140415.0,39.0,0.83489,25.425566,100000
37,-139672.0,38.8,0.83072,26.602696,100000
38,-142924.0,39.7,0.82657,26.602696,100000
39,-142966.0,39.71,0.82243,26.602696,100000
40,-138545.0,38.48,0.81832,26.602696,100000
41,-134362.0,37.32,0.81423,26.68418,100000
42,-139442.0,38.73,0.81016,26.68418,100000
43,-141960.0,39.43,0.80611,26.68418,100000
44,-138934.0,38.59,0.80208,26.68418,100000
45,-139744.0,38.82,0.79807,27.777851,100000
46,-136911.0,38.03,0.79408,27.777851,100000
47,-139501.0,38.75,0.7901,27.777851,100000
48,-141525.0,39.31,0.78615,27.777851,100000
49,-139607.0,38.78,0.78222,28.560793,100000
50,-142826.0,39.67,0.77831,28.560793,100000
51,-137947.0,38.32,0.77442,28.560793,100000
52,-140000.0,38.89,0.77055,28.560793,100000
53,-141323.0,39.26,0.7667,28.438213,100000
54,-137425.0,38.17,0.76286,28.438213,100000
55,-141613.0,39.34,0.75905,28.438213,100000
56,-140564.0,39.05,0.75525,28.438213,100000
57,-141168.0,39.21,0.75148,28.158715,100000
58,-134446.0,37.35,0.74772,28.158715,100000
59,-140359.0,38.99,0.74398,28.158715,100000
60,-136843.0,38.01,0.74026,28.158715,100000
61,-144587.0,40.16,0.73656,28.300087,100000
62,-142874.0,39.69,0.73288,28.300087,100000
63,-138542.0,38.48,0.72921,28.300087,100000
64,-140089.0,38.91,0.72557,28.300087,100000
65,-137413.0,38.17,0.72194,28.674324,100000
66,-140652.0,39.07,0.71833,28.674324,100000
67,-136450.0,37.9,0.71474,28.674324,100000
68,-139963.0,38.88,0.71116,28.674324,100000
69,-142338.0,39.54,0.70761,28.407556,100000
70,-143530.0,39.87,0.70407,28.407556,100000
71,-140404.0,39.0,0.70055,28.407556,100000
72,-150170.0,41.71,0.69705,28.407556,100000
73,-140086.0,38.91,0.69356,28.092959,100000
74,-136320.0,37.87,0.69009,28.092959,100000
75,-139766.0,38.82,0.68664,28.092959,100000
76,-142652.0,39.63,0.68321,28.092959,100000
77,-142365.0,39.55,0.67979,29.012414,100000
78,-141635.0,39.34,0.67639,29.012414,100000
79,-142854.0,39.68,0.67301,29.012414,100000
80,-140688.0,39.08,0.66965,29.012414,100000
81,-142658.0,39.63,0.6663,28.69642,100000
82,-141515.0,39.31,0.66297,28.69642,100000
83,-139512.0,38.75,0.65965,28.69642,100000
84,-144545.0,40.15,0.65635,28.69642,100000
85,-134985.0,37.5,0.65307,28.754272,100000
86,-142263.0,39.52,0.64981,28.754272,100000
87,-136653.0,37.96,0.64656,28.754272,100000
88,-141469.0,39.3,0.64333,28.754272,100000
89,-142411.0,39.56,0.64011,29.462182,100000
90,-135120.0,37.53,0.63691,29.462182,100000
91,-135690.0,37.69,0.63372,29.462182,100000
92,-142402.0,39.56,0.63056,29.462182,100000
93,-141526.0,39.31,0.6274,29.097013,100000
94,-143938.0,39.98,0.62427,29.097013,100000
95,-139908.0,38.86,0.62114,29.097013,100000
96,-137054.0,38.07,0.61804,29.097013,100000
97,-143208.0,39.78,0.61495,29.051138,100000
98,-133135.0,36.98,0.61187,29.051138,100000
99,-139145.0,38.65,0.60881,29.051138,100000
100,-145651.0,40.46,0.60577,29.051138,100000
101,-138056.0,38.35,0.60274,28.857684,100000
102,-138048.0,38.35,0.59973,28.857684,100000
103,-137386.0,38.16,0.59673,28.857684,100000
104,-143337.0,39.82,0.59375,28.857684,100000
105,-140609.0,39.06,0.59078,29.039225,100000
106,-140413.0,39.0,0.58782,29.039225,100000
107,-136464.0,37.91,0.58488,29.039225,100000
108,-143307.0,39.81,0.58196,29.039225,100000
109,-138713.0,38.53,0.57905,30.172394,100000
110,-134109.0,37.25,0.57615,30.172394,100000
111,-144353.0,40.1,0.57327,30.172394,100000
112,-135913.0,37.75,0.57041,30.172394,100000
113,-143433.0,39.84,0.56756,29.614969,100000
114,-142134.0,39.48,0.56472,29.614969,100000
115,-140887.0,39.14,0.56189,29.614969,100000
116,-135537.0,37.65,0.55908,29.614969,100000
117,-142052.0,39.46,0.55629,30.170004,100000
118,-140522.0,39.03,0.55351,30.170004,100000
119,-132844.0,36.9,0.55074,30.170004,100000
120,-142166.0,39.49,0.54799,30.170004,100000
121,-140177.0,38.94,0.54525,31.141512,100000
122,-133360.0,37.04,0.54252,31.141512,100000
123,-142634.0,39.62,0.53981,31.141512,100000
124,-135851.0,37.74,0.53711,31.141512,100000
125,-141354.0,39.27,0.53442,31.190843,100000
126,-135109.0,37.53,0.53175,31.190843,100000
127,-138797.0,38.55,0.52909,31.190843,100000
128,-141006.0,39.17,0.52645,31.190843,100000
129,-140003.0,38.89,0.52381,30.838819,100000
130,-135814.0,37.73,0.5212,30.838819,100000
131,-141060.0,39.18,0.51859,30.838819,100000
132,-138615.0,38.5,0.516,30.838819,100000
133,-139192.0,38.66,0.51342,31.167351,100000
134,-141646.0,39.35,0.51085,31.167351,100000
135,-131758.0,36.6,0.5083,31.167351,100000
136,-140533.0,39.04,0.50575,31.167351,100000
137,-135596.0,37.67,0.50322,31.718776,100000
138,-132108.0,36.7,0.50071,31.718776,100000
139,-141879.0,39.41,0.49821,31.718776,100000
140,-134171.0,37.27,0.49571,31.718776,100000
141,-138815.0,38.56,0.49324,32.051509,100000
142,-136067.0,37.8,0.49077,32.051509,100000
143,-140588.0,39.05,0.48832,32.051509,100000
144,-137531.0,38.2,0.48587,32.051509,100000
145,-138936.0,38.59,0.48344,32.507951,100000
146,-132985.0,36.94,0.48103,32.507951,100000
147,-131900.0,36.64,0.47862,32.507951,100000
148,-140089.0,38.91,0.47623,32.507951,100000
149,-135130.0,37.54,0.47385,32.827088,100000
150,-137954.0,38.32,0.47148,32.827088,100000
151,-140896.0,39.14,0.46912,32.827088,100000
152,-136395.0,37.89,0.46678,32.827088,100000
153,-142694.0,39.64,0.46444,33.285506,100000
154,-141151.0,39.21,0.46212,33.285506,100000
155,-139137.0,38.65,0.45981,33.285506,100000
